Move Name,Move Description
thousand_arrows,This move also hits opposing Pokémon that are in the air. Those Pokémon are knocked down to the ground.
thousand_waves,The user attacks with a wave that crawls along the ground. Those it hits can't flee from battle.
thrash,The user rampages and attacks for two to three turns. The user then becomes confused.
throat_chop,"The user attacks the target's throat, and the resultant suffering prevents the target from using moves that emit sound for two turns."
thunder_fang,The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.
thunder_punch,The target is punched with an electrified fist. This may also leave the target with paralysis.
thunderous_kick,The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target's Defense stat.
triple_axel,A consecutive three-kick attack that becomes more powerful with each successful hit.
triple_kick,A consecutive three-kick attack that becomes more powerful with each successful hit.
trop_kick,The user lands an intense kick of tropical origins on the target. This also lowers the target's Attack stat.
twineedle,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
twinkle_tackle,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
u_turn,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
v_create,"With a hot flame on its forehead, the user hurls itself at its target. This lowers the user's Defense, Sp. Def, and Speed stats."
veevee_volley,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
vine_whip,"The target is struck with slender, whiplike vines to inflict damage."
vise_grip,The target is gripped and squeezed from both sides to inflict damage.
vital_throw,"The user attacks last. In return, this throw move never misses."
volt_tackle,The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis.
wake_up_slap,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
waterfall,The user charges at the target and may make it flinch.
wicked_blow,"The user, having mastered the Dark style, strikes the target with a fierce blow. This attack always results in a critical hit."
wild_charge,The user shrouds itself in electricity and smashes into its target. This also damages the user a little.
wing_attack,"The target is struck with large, imposing wings spread wide to inflict damage."
wood_hammer,The user slams its rugged body into the target to attack. This also damages the user quite a lot.
wrap,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns."
x_scissor,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.
zen_headbutt,The user focuses its willpower to its head and attacks the target. This may also make the target flinch.
zing_zap,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch."
zippy_zap,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
10000000_volt_thunderbolt,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
absorb,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
acid,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
acid_downpour,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
acid_spray,The user spits fluid that works to melt the target. This harshly lowers the target's Sp. Def stat.
aeroblast,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
air_cutter,The user launches razor-like wind to slash opposing Pokémon. Critical hits land more easily.
air_slash,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.
all_out_pummeling,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
ancient_power,The user attacks with a prehistoric power. This may also raise all the user's stats at once.
apple_acid,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.
astral_barrage,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
aura_sphere,The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.
aurora_beam,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.
baddy_bad,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
belch,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.
black_hole_eclipse,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
blast_burn,The target is razed by a fiery explosion. The user can't move on the next turn.
blizzard,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
bloom_doom,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
blue_flare,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn."
boomburst,"The user attacks everything around it with the destructive power of a terrible, explosive sound."
bouncy_bubble,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
breakneck_blitz,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
brine,"If the target's HP is half or less, this attack will hit with double the power."
bubble,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
bubble_beam,A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat.
bug_buzz,The user generates a damaging sound wave by vibration. This may also lower the target's Sp. Def stat.
burn_up,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
burning_jealousy,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.
buzzy_buzz,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
charge_beam,The user attacks the target with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.
chatter,The user attacks the target with sound waves of deafening chatter. This confuses the target.
clanging_scales,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat goes down after the attack.
clangorous_soulblaze,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
clear_smog,The user attacks the target by throwing a clump of special mud. All stat changes are returned to normal.
confusion,The target is hit by a weak telekinetic force. This may also confuse the target.
continental_crush,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
core_enforcer,"If the Pokémon the user has inflicted damage on have already used their moves, this move eliminates the effect of the target's Ability."
corkscrew_crash,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
dark_pulse,The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.
dazzling_gleam,The user damages opposing Pokémon by emitting a powerful flash.
devastating_drake,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
disarming_voice,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses."
discharge,The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.
doom_desire,"Two turns after this move is used, a concentrated bundle of light blasts the target."
draco_meteor,Comets are summoned down from the sky onto the target. The attack's recoil harshly lowers the user's Sp. Atk stat.
dragon_breath,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.
dragon_energy,"Converting its life-force into power, the user attacks opposing Pokémon. The lower the user's HP, the lower the move's power."
dragon_pulse,The target is attacked with a shock wave generated by the user's gaping mouth.
dragon_rage,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
draining_kiss,The user steals the target's HP with a kiss. The user's HP is restored by over half of the damage taken by the target.
dream_eater,The user eats the dreams of a sleeping target. The user's HP is restored by half the damage taken by the target.
dynamax_cannon,The user unleashes a strong beam from its core. This move deals twice the damage if the target is Dynamaxed.
earth_power,The user makes the ground under the target erupt with power. This may also lower the target's Sp. Def stat.
echoed_voice,"The user attacks the target with an echoing voice. If this move is used every turn, its power is increased."
eerie_spell,The user attacks with its tremendous psychic power. This also removes 3 PP from the target's last move.
electro_ball,"The user hurls an electric orb at the target. The faster the user is than the target, the greater the move's power."
electroweb,The user attacks and captures opposing Pokémon using an electric net. This lowers their Speed stats.
ember,The target is attacked with small flames. This may also leave the target with a burn.
energy_ball,The user draws power from nature and fires it at the target. This may also lower the target's Sp. Def stat.
eruption,"The user attacks opposing Pokémon with explosive fury. The lower the user's HP, the lower the move's power."
eternabeam,This is Eternatus's most powerful attack in its original form. The user can't move on the next turn.
expanding_force,The user attacks the target with its psychic power. This move's power goes up and damages all opposing Pokémon on Psychic Terrain.
extrasensory,"The user attacks with an odd, unseeable power. This may also make the target flinch."
fairy_wind,The user stirs up a fairy wind and strikes the target with it.
fiery_dance,"Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also raise the user's Sp. Atk stat."
fiery_wrath,The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.
final_gambit,The user risks everything to attack its target. The user faints but does damage equal to its HP.
fire_blast,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.
fire_pledge,"A column of fire hits the target. When used with its grass equivalent, its power increases and a vast sea of fire appears."
fire_spin,The target becomes trapped within a fierce vortex of fire that rages for four to five turns.
flame_burst,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
flamethrower,The target is scorched with an intense blast of fire. This may also leave the target with a burn.
flash_cannon,The user gathers all its light energy and releases it all at once. This may also lower the target's Sp. Def stat.
fleur_cannon,The user unleashes a strong beam. The attack's recoil harshly lowers the user's Sp. Atk stat.
focus_blast,The user heightens its mental focus and unleashes its power. This may also lower the target's Sp. Def stat.
freeze_dry,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.
freezing_glare,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.
freezy_frost,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
frenzy_plant,The user slams the target with the roots of an enormous tree. The user can't move on the next turn.
frost_breath,The user blows its cold breath on the target. This attack always results in a critical hit.
fusion_flare,The user brings down a giant flame. This move's power is increased when influenced by an enormous lightning bolt.
future_sight,"Two turns after this move is used, a hunk of psychic energy attacks the target."
genesis_supernova,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
giga_drain,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
gigavolt_havoc,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
glaciate,The user attacks by blowing freezing cold air at opposing Pokémon. This lowers their Speed stats.
glitzy_glow,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
grass_knot,"The user snares the target with grass and trips it. The heavier the target, the greater the move's power."
grass_pledge,"A column of grass hits the target. When used with its water equivalent, its power increases and a vast swamp appears."
guardian_of_alola,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
gust,A gust of wind is whipped up by wings and launched at the target to inflict damage.
heat_wave,The user attacks by exhaling hot breath on opposing Pokémon. This may also leave those Pokémon with a burn.
hex,This relentless attack does massive damage to a target affected by status conditions.
hidden_power,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
hurricane,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target.
hydro_cannon,The target is hit with a watery blast. The user can't move on the next turn.
hydro_pump,The target is blasted by a huge volume of water launched under great pressure.
hydro_vortex,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
hyper_beam,The target is attacked with a powerful beam. The user can't move on the next turn.
hyper_voice,The user lets loose a horribly echoing shout with the power to inflict damage.
hyperspace_hole,"Using a hyperspace hole, the user appears right next to the target and strikes. This also hits a target using a move such as Protect or Detect."
ice_beam,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.
ice_burn,"On the second turn, an ultracold, freezing wind surrounds the target. This may leave the target with a burn."
icy_wind,The user attacks with a gust of chilled air. This also lowers opposing Pokémon's Speed stats.
incinerate,"The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable."
inferno,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.
inferno_overdrive,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
infestation,The target is infested and attacked for four to five turns. The target can't flee during this time.
judgment,The user releases countless shots of light at the target. This move's type varies depending on the kind of Plate the user is holding.
lava_plume,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
leaf_storm,The user whips up a storm of leaves around the target. The attack's recoil harshly lowers the user's Sp. Atk stat.
leaf_tornado,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target's accuracy.
light_that_burns_the_sky,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
light_of_ruin,"Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot."
luster_purge,The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat.
magical_leaf,The user scatters curious leaves that chase the target. This attack never misses.
magma_storm,The target becomes trapped within a maelstrom of fire that rages for four to five turns.
mega_drain,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
menacing_moonraze_maelstrom,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
meteor_beam,"In this two-turn attack, the user gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn."
mind_blown,The user attacks everything around it by causing its own head to explode. This also damages the user.
mirror_coat,"A retaliation move that counters any special attack, inflicting double the damage taken."
mirror_shot,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
mist_ball,A mist-like flurry of down envelops and damages the target. This may also lower the target's Sp. Atk stat.
misty_explosion,The user attacks everything around it and faints upon using this move. This move's power is increased on Misty Terrain.
moonblast,"Borrowing the power of the moon, the user attacks the target. This may also lower the target's Sp. Atk stat."
moongeist_beam,The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Abilities.
mud_bomb,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
mud_shot,The user attacks by hurling a blob of mud at the target. This also lowers the target's Speed stat.
mud_slap,The user hurls mud in the target's face to inflict damage and lower its accuracy.
muddy_water,The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.
mystical_fire,"The user attacks by breathing a special, hot fire. This also lowers the target's Sp. Atk stat."
natures_madness,The user hits the target with the force of nature. It halves the target's HP.
never_ending_nightmare,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
night_daze,The user lets loose a pitch-black shock wave at its target. This may also lower the target's accuracy.
night_shade,The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.
oblivion_wing,The user absorbs its target's HP. The user's HP is restored by over half of the damage taken by the target.
oceanic_operetta,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
octazooka,The user attacks by spraying ink in the target's face or eyes. This may also lower the target's accuracy.
ominous_wind,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
origin_pulse,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.
overdrive,"The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration."
overheat,The user attacks the target at full power. The attack's recoil harshly lowers the user's Sp. Atk stat.
parabolic_charge,The user attacks everything around it. The user's HP is restored by half the damage taken by those hit.
petal_dance,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.
photon_geyser,The user attacks a target with a pillar of light. This move inflicts Attack or Sp. Atk damageâ€”whichever stat is higher for the user.
pika_papow,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
pollen_puff,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead."
powder_snow,The user attacks with a chilling gust of powdery snow. This may also freeze opposing Pokémon.
power_gem,The user attacks with a ray of light that sparkles as if it were made of gemstones.
prismatic_laser,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
psybeam,The target is attacked with a peculiar ray. This may also leave the target confused.
psychic,The target is hit by a strong telekinetic force. This may also lower the target's Sp. Def stat.
psycho_boost,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
psyshock,The user materializes an odd psychic wave to attack the target. This attack does physical damage.
psystrike,The user materializes an odd psychic wave to attack the target. This attack does physical damage.
psywave,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
razor_wind,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
relic_song,The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.
revelation_dance,The user attacks the target by dancing very hard. The user's type determines the type of this move.
rising_voltage,The user attacks with electric voltage rising from the ground. This move's power doubles when the target is on Electric Terrain.
roar_of_time,The user blasts the target with power that distorts even time. The user can't move on the next turn.
round,The user attacks the target with a song. Others can join in the Round to increase the power of the attack.
savage_spin_out,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
scald,The user shoots boiling hot water at its target. This may also leave the target with a burn.
scorching_sands,The user throws scorching sand at the target to attack. This may also leave the target with a burn.
searing_shot,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
secret_sword,The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.
seed_flare,The user emits a shock wave from its body to attack its target. This may also harshly lower the target's Sp. Def stat.
shadow_ball,The user hurls a shadowy blob at the target. This may also lower the target's Sp. Def stat.
shattered_psyche,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
sheer_cold,The target faints instantly. It's less likely to hit the target if it's used by Pokémon other than Ice types.
shell_side_arm,"This move inflicts physical or special damage, whichever will be more effective. This may also poison the target."
shell_trap,"The user sets a shell trap. If the user is hit by a physical move, the trap will explode and inflict damage on opposing Pokémon."
shock_wave,The user strikes the target with a quick jolt of electricity. This attack never misses.
signal_beam,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
silver_wind,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
sludge,Unsanitary sludge is hurled at the target. This may also poison the target.
sludge_bomb,Unsanitary sludge is hurled at the target. This may also poison the target.
sludge_wave,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.
smog,The target is attacked with a discharge of filthy gases. This may also poison the target.
snarl,"The user yells as if it's ranting about something, which lowers the Sp. Atk stats of opposing Pokémon."
snipe_shot,"The user ignores the effects of opposing Pokémon's moves and Abilities that draw in moves, allowing this move to hit the chosen target."
snore,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.
solar_beam,"In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn."
sonic_boom,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
spacial_rend,The user tears the target along with the space around it. Critical hits land more easily.
sparkling_aria,"The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be healed by the touch of these bubbles."
sparkly_swirl,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
spit_up,"The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move's power."
splishy_splash,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
steam_eruption,The user immerses the target in superheated steam. This may also leave the target with a burn.
steel_beam,The user fires a beam of steel that it collected from its entire body. This also damages the user.
stoked_sparksurfer,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
stored_power,"The user attacks the target with stored power. The more the user's stats are raised, the greater the move's power."
strange_steam,The user attacks the target by emitting steam. This may also confuse the target.
struggle_bug,"While resisting, the user attacks opposing Pokémon. This lowers the Sp. Atk stats of those hit."
subzero_slammer,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
supersonic_skystrike,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
surf,The user attacks everything around it by swamping its surroundings with a giant wave.
swift,Star-shaped rays are shot at opposing Pokémon. This attack never misses.
synchronoise,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
techno_blast,The user fires a beam of light at its target. The move's type changes depending on the Drive the user holds.
tectonic_rage,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
terrain_pulse,The user utilizes the power of the terrain to attack. This move's type and power changes depending on the terrain when it's used.
thunder,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.
thunder_cage,The user traps the target in a cage of sparking electricity for four to five turns.
thunder_shock,A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.
thunderbolt,A strong electric blast crashes down on the target. This may also leave the target with paralysis.
tri_attack,"The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target."
trump_card,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
twinkle_tackle,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
twister,The user whips up a vicious tornado to tear at opposing Pokémon. This may also make them flinch.
uproar,"The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep."
vacuum_wave,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.
venoshock,The user drenches the target in a special poisonous liquid. This move's power is doubled if the target is poisoned.
volt_switch,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
water_gun,The target is blasted with a forceful shot of water.
water_pledge,"A column of water hits the target. When used with its fire equivalent, its power increases and a rainbow appears."
water_pulse,The user attacks the target with a pulsing blast of water. This may also confuse the target.
water_shuriken,The user hits the target with throwing stars two to five times in a row. This move always goes first.
water_spout,"The user spouts water to damage opposing Pokémon. The lower the user's HP, the lower the move's power."
weather_ball,This attack move varies in power and type depending on the weather.
whirlpool,The user traps the target in a violent swirling whirlpool for four to five turns.
wring_out,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
zap_cannon,The user fires an electric blast like a cannon to inflict damage and cause paralysis.
acid_armor,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
acupressure,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats."
after_you,The user helps the target and makes it use its move right after the user.
agility,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.
ally_switch,The user teleports using a strange power and switches places with one of its allies.
amnesia,The user temporarily empties its mind to forget its concerns. This sharply raises the user's Sp. Def stat.
aqua_ring,The user envelops itself in a veil made of water. It regains some HP every turn.
aromatherapy,The user releases a soothing scent that heals all status conditions affecting the user's party.
aromatic_mist,The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
assist,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
attract,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
aurora_veil,This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.
autotomize,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.
baby_doll_eyes,"The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first."
baneful_bunker,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact."
barrier,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
baton_pass,The user switches places with a party Pokémon in waiting and passes along any stat changes.
belly_drum,The user maximizes its Attack stat in exchange for HP equal to half its max HP.
bestow,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
block,The user blocks the target's way with arms spread wide to prevent escape.
bulk_up,"The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats."
calm_mind,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
camouflage,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
captivate,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
celebrate,The Pokémon congratulates you on your special day!
charge,The user boosts the power of the Electric move it uses on the next turn. This also raises the user's Sp. Def stat.
charm,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat."
clangorous_soul,The user raises all its stats by using some of its HP.
coaching,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats."
coil,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.
confide,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat."
confuse_ray,The target is exposed to a sinister ray that triggers confusion.
conversion,The user changes its type to become the same type as the move at the top of the list of moves it knows.
conversion_2,The user changes its type to make itself resistant to the type of the attack the target used last.
copycat,The user mimics the move used immediately before it. The move fails if no other move has been used yet.
corrosive_gas,The user surrounds everything around it with highly acidic gas and melts away items they hold.
cosmic_power,The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.
cotton_guard,"The user protects itself by wrapping its body in soft cotton, which drastically raises the user's Defense stat."
cotton_spore,"The user releases cotton-like spores that cling to opposing Pokémon, which harshly lowers their Speed stats."
court_change,"With its mysterious power, the user swaps the effects on either side of the field."
crafty_shield,The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.
curse,A move that works differently for the Ghost type than for all other types.
dark_void,Opposing Pokémon are dragged into a world of total darkness that makes them sleep.
decorate,The user sharply raises the target's Attack and Sp. Atk stats by decorating the target.
defend_order,"The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats."
defense_curl,The user curls up to conceal weak spots and raise its Defense stat.
defog,A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness.
destiny_bond,"After using this move, if the user faints, the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession."
detect,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
disable,"For four turns, this move prevents the target from using the move it last used."
double_team,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness."
dragon_dance,"The user vigorously performs a mystic, powerful dance that raises its Attack and Speed stats."
eerie_impulse,The user's body generates an eerie impulse. Exposing the target to it harshly lowers the target's Sp. Atk stat.
electric_terrain,"The user electrifies the ground for five turns, powering up Electric-type moves. Pokémon on the ground no longer fall asleep."
electrify,"If the target is electrified before it uses a move during that turn, the target's move becomes Electric type."
embargo,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
encore,The user compels the target to keep using the move it encored for three turns.
endure,The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.
entrainment,"The user dances with an odd rhythm that compels the target to mimic it, making the target's Ability the same as the user's."
extreme_evoboost,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
fairy_lock,"By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn."
fake_tears,"The user feigns crying to fluster the target, harshly lowering its Sp. Def stat."
feather_dance,The user covers the target's body with a mass of down that harshly lowers its Attack stat.
flash,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
flatter,"Flattery is used to confuse the target. However, this also raises the target's Sp. Atk stat."
floral_healing,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
flower_shield,The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power.
focus_energy,The user takes a deep breath and focuses so that critical hits land more easily.
follow_me,"The user draws attention to itself, making all targets take aim only at the user."
foresight,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
forests_curse,The user puts a forest curse on the target. The target is now Grass type as well.
gastro_acid,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target's Ability.
gear_up,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.
geomancy,"The user absorbs energy and sharply raises its Sp. Atk, Sp. Def, and Speed stats on the next turn."
glare,The user intimidates the target with the pattern on its belly to cause paralysis.
grass_whistle,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
grassy_terrain,The user turns the ground to grass for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves.
gravity,This move enables Flying-type Pokémon or Pokémon with the Levitate Ability to be hit by Ground-type moves. Moves that involve flying can't be used.
growl,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats."
growth,"The user's body grows all at once, raising the Attack and Sp. Atk stats."
grudge,"If the user faints, the user's grudge fully depletes the PP of the opponent's move that knocked it out."
guard_split,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.
guard_swap,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.
hail,The user summons a hailstorm lasting five turns. It damages all Pokémon except Ice types.
happy_hour,Using Happy Hour doubles the amount of prize money received after battle.
harden,The user stiffens all the muscles in its body to raise its Defense stat.
haze,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
heal_bell,The user makes a soothing bell chime to heal the status conditions of all the party Pokémon.
heal_block,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
heal_order,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
