Dex Number,Sprite URL,Pokemon,Ability 1,Ability 2,Hidden,Introduced
156,//cdn2.bulbagarden.net/upload/d/df/156MS6.png,Quilava,Blaze,,Flash Fire,2
157,//cdn2.bulbagarden.net/upload/5/55/157MS6.png,Typhlosion,Blaze,,Flash Fire,2
158,//cdn2.bulbagarden.net/upload/3/39/158MS6.png,Totodile,Torrent,,Sheer Force,2
159,//cdn2.bulbagarden.net/upload/b/b9/159MS6.png,Croconaw,Torrent,,Sheer Force,2
160,//cdn2.bulbagarden.net/upload/9/99/160MS6.png,Feraligatr,Torrent,,Sheer Force,2
161,//cdn2.bulbagarden.net/upload/6/69/161MS6.png,Sentret,Run Away,Keen Eye,Frisk,2
162,//cdn2.bulbagarden.net/upload/4/47/162MS6.png,Furret,Run Away,Keen Eye,Frisk,2
163,//cdn2.bulbagarden.net/upload/a/ae/163MS8.png,Hoothoot,Insomnia,Keen Eye,Tinted Lens,2
164,//cdn2.bulbagarden.net/upload/5/50/164MS8.png,Noctowl,Insomnia,Keen Eye,Tinted Lens,2
165,//cdn2.bulbagarden.net/upload/f/fe/165MS6.png,Ledyba,Swarm,Early Bird,Rattled,2
166,//cdn2.bulbagarden.net/upload/1/10/166MS6.png,Ledian,Swarm,Early Bird,Iron Fist,2
167,//cdn2.bulbagarden.net/upload/7/71/167MS6.png,Spinarak,Swarm,Insomnia,Sniper,2
168,//cdn2.bulbagarden.net/upload/9/96/168MS6.png,Ariados,Swarm,Insomnia,Sniper,2
170,//cdn2.bulbagarden.net/upload/a/ac/170MS8.png,Chinchou,Volt Absorb,Illuminate,Water Absorb,2
171,//cdn2.bulbagarden.net/upload/d/d4/171MS8.png,Lanturn,Volt Absorb,Illuminate,Water Absorb,2
175,//cdn2.bulbagarden.net/upload/4/4c/175MS8.png,Togepi,Hustle,Serene Grace,Super Luck,2
176,//cdn2.bulbagarden.net/upload/b/bc/176MS8.png,Togetic,Hustle,Serene Grace,Super Luck,2
468,//cdn2.bulbagarden.net/upload/2/26/468MS8.png,Togekiss,Hustle,Serene Grace,Super Luck,4
177,//cdn2.bulbagarden.net/upload/7/7a/177MS8.png,Natu,Synchronize,Early Bird,Magic Bounce,2
178,//cdn2.bulbagarden.net/upload/8/88/178MS8.png,Xatu,Synchronize,Early Bird,Magic Bounce,2
179,//cdn2.bulbagarden.net/upload/e/e8/179MS6.png,Mareep,Static,,Plus,2
180,//cdn2.bulbagarden.net/upload/e/eb/180MS6.png,Flaaffy,Static,,Plus,2
181,//cdn2.bulbagarden.net/upload/8/89/181MS6.png,Ampharos,Static,,Plus,2
181,//cdn2.bulbagarden.net/upload/a/a1/181MMS6.png,Ampharos (Mega Ampharos),Mold Breaker,,,6
298,//cdn2.bulbagarden.net/upload/c/c7/298MS8.png,Azurill,Thick Fat,Huge Power,Sap Sipper,3
183,//cdn2.bulbagarden.net/upload/8/8f/183MS8.png,Marill,Thick Fat,Huge Power,Sap Sipper,2
184,//cdn2.bulbagarden.net/upload/c/cc/184MS8.png,Azumarill,Thick Fat,Huge Power,Sap Sipper,2
438,//cdn2.bulbagarden.net/upload/3/39/438MS8.png,Bonsly,Sturdy,Rock Head,Rattled,4
185,//cdn2.bulbagarden.net/upload/b/b3/185MS8.png,Sudowoodo,Sturdy,Rock Head,Rattled,2
187,//cdn2.bulbagarden.net/upload/b/b3/187MS6.png,Hoppip,Chlorophyll,Leaf Guard,Infiltrator,2
188,//cdn2.bulbagarden.net/upload/d/d4/188MS6.png,Skiploom,Chlorophyll,Leaf Guard,Infiltrator,2
189,//cdn2.bulbagarden.net/upload/5/5b/189MS6.png,Jumpluff,Chlorophyll,Leaf Guard,Infiltrator,2
190,//cdn2.bulbagarden.net/upload/9/92/190MS6.png,Aipom,Run Away,Pickup,Skill Link,2
424,//cdn2.bulbagarden.net/upload/6/68/424MS6.png,Ambipom,Technician,Pickup,Skill Link,4
191,//cdn2.bulbagarden.net/upload/b/b6/191MS6.png,Sunkern,Chlorophyll,Solar Power,Early Bird,2
192,//cdn2.bulbagarden.net/upload/8/89/192MS6.png,Sunflora,Chlorophyll,Solar Power,Early Bird,2
193,//cdn2.bulbagarden.net/upload/1/1c/193MS6.png,Yanma,Speed Boost,Compound Eyes,Frisk,2
469,//cdn2.bulbagarden.net/upload/8/8c/469MS6.png,Yanmega,Speed Boost,Tinted Lens,Frisk,4
194,//cdn2.bulbagarden.net/upload/c/cd/194MS8.png,Wooper,Damp,Water Absorb,Unaware,2
195,//cdn2.bulbagarden.net/upload/1/15/195MS8.png,Quagsire,Damp,Water Absorb,Unaware,2
198,//cdn2.bulbagarden.net/upload/4/4f/198MS6.png,Murkrow,Insomnia,Super Luck,Prankster,2
430,//cdn2.bulbagarden.net/upload/a/a7/430MS6.png,Honchkrow,Insomnia,Super Luck,Moxie,4
200,//cdn2.bulbagarden.net/upload/e/e3/200MS6.png,Misdreavus,Levitate,,,2
429,//cdn2.bulbagarden.net/upload/d/d7/429MS6.png,Mismagius,Levitate,,,4
201,//cdn2.bulbagarden.net/upload/e/e7/201MS6.png,Unown,Levitate,,,2
360,//cdn2.bulbagarden.net/upload/9/97/360MS8.png,Wynaut,Shadow Tag,,Telepathy,3
202,//cdn2.bulbagarden.net/upload/8/89/202MS8.png,Wobbuffet,Shadow Tag,,Telepathy,2
203,//cdn2.bulbagarden.net/upload/b/bc/203MS6.png,Girafarig,Inner Focus,Early Bird,Sap Sipper,2
204,//cdn2.bulbagarden.net/upload/d/db/204MS6.png,Pineco,Sturdy,,Overcoat,2
205,//cdn2.bulbagarden.net/upload/c/c4/205MS6.png,Forretress,Sturdy,,Overcoat,2
206,//cdn2.bulbagarden.net/upload/1/19/206MS8.png,Dunsparce,Serene Grace,Run Away,Rattled,2
207,//cdn2.bulbagarden.net/upload/2/27/207MS6.png,Gligar,Hyper Cutter,Sand Veil,Immunity,2
472,//cdn2.bulbagarden.net/upload/6/63/472MS6.png,Gliscor,Hyper Cutter,Sand Veil,Poison Heal,4
209,//cdn2.bulbagarden.net/upload/d/d4/209MS6.png,Snubbull,Intimidate,Run Away,Rattled,2
210,//cdn2.bulbagarden.net/upload/8/8e/210MS6.png,Granbull,Intimidate,Quick Feet,Rattled,2
211,//cdn2.bulbagarden.net/upload/a/a4/211MS8.png,Qwilfish,Poison Point,Swift Swim,Intimidate,2
213,//cdn2.bulbagarden.net/upload/0/00/213MS8.png,Shuckle,Sturdy,Gluttony,Contrary,2
214,//cdn2.bulbagarden.net/upload/9/9d/214MS8.png,Heracross,Swarm,Guts,Moxie,2
214,//cdn2.bulbagarden.net/upload/e/ed/214MMS6.png,Heracross (Mega Heracross),Skill Link,,,6
215,//cdn2.bulbagarden.net/upload/e/ea/215MS8.png,Sneasel,Inner Focus,Keen Eye,Pickpocket,2
461,//cdn2.bulbagarden.net/upload/4/45/461MS8.png,Weavile,Pressure,,Pickpocket,4
216,//cdn2.bulbagarden.net/upload/9/90/216MS6.png,Teddiursa,Pickup,Quick Feet,Honey Gather,2
217,//cdn2.bulbagarden.net/upload/6/6d/217MS6.png,Ursaring,Guts,Quick Feet,Unnerve,2
218,//cdn2.bulbagarden.net/upload/8/8e/218MS6.png,Slugma,Magma Armor,Flame Body,Weak Armor,2
219,//cdn2.bulbagarden.net/upload/e/e3/219MS6.png,Magcargo,Magma Armor,Flame Body,Weak Armor,2
220,//cdn2.bulbagarden.net/upload/2/26/220MS8.png,Swinub,Oblivious,Snow Cloak,Thick Fat,2
221,//cdn2.bulbagarden.net/upload/0/01/221MS8.png,Piloswine,Oblivious,Snow Cloak,Thick Fat,2
473,//cdn2.bulbagarden.net/upload/8/8c/473MS8.png,Mamoswine,Oblivious,Snow Cloak,Thick Fat,4
222,//cdn2.bulbagarden.net/upload/5/52/222MS8.png,Corsola,Hustle,Natural Cure,Regenerator,2
222,//cdn2.bulbagarden.net/upload/c/c7/222GMS8.png,Corsola (Galarian Corsola),Weak Armor,,Cursed Body,8
864,//cdn2.bulbagarden.net/upload/9/90/864MS8.png,Cursola,Weak Armor,,Perish Body,8
223,//cdn2.bulbagarden.net/upload/c/cb/223MS8.png,Remoraid,Hustle,Sniper,Moody,2
224,//cdn2.bulbagarden.net/upload/f/f6/224MS8.png,Octillery,Suction Cups,Sniper,Moody,2
225,//cdn2.bulbagarden.net/upload/9/90/225MS8.png,Delibird,Vital Spirit,Hustle,Insomnia,2
458,//cdn2.bulbagarden.net/upload/2/21/458MS8.png,Mantyke,Swift Swim,Water Absorb,Water Veil,4
226,//cdn2.bulbagarden.net/upload/9/92/226MS8.png,Mantine,Swift Swim,Water Absorb,Water Veil,2
227,//cdn2.bulbagarden.net/upload/6/6b/227MS8.png,Skarmory,Keen Eye,Sturdy,Weak Armor,2
228,//cdn2.bulbagarden.net/upload/b/bc/228MS6.png,Houndour,Early Bird,Flash Fire,Unnerve,2
229,//cdn2.bulbagarden.net/upload/4/40/229MS6.png,Houndoom,Early Bird,Flash Fire,Unnerve,2
229,//cdn2.bulbagarden.net/upload/a/a4/229MMS6.png,Houndoom (Mega Houndoom),Solar Power,,,6
231,//cdn2.bulbagarden.net/upload/6/6c/231MS6.png,Phanpy,Pickup,,Sand Veil,2
232,//cdn2.bulbagarden.net/upload/8/85/232MS6.png,Donphan,Sturdy,,Sand Veil,2
234,//cdn2.bulbagarden.net/upload/1/19/234MS6.png,Stantler,Intimidate,Frisk,Sap Sipper,2
235,//cdn2.bulbagarden.net/upload/a/af/235MS6.png,Smeargle,Own Tempo,Technician,Moody,2
241,//cdn2.bulbagarden.net/upload/7/73/241MS8.png,Miltank,Thick Fat,Scrappy,Sap Sipper,2
243,//cdn2.bulbagarden.net/upload/2/27/243MS8.png,Raikou,Pressure,,Inner Focus,2
244,//cdn2.bulbagarden.net/upload/8/81/244MS8.png,Entei,Pressure,,Inner Focus,2
245,//cdn2.bulbagarden.net/upload/0/0b/245MS8.png,Suicune,Pressure,,Inner Focus,2
246,//cdn2.bulbagarden.net/upload/4/47/246MS8.png,Larvitar,Guts,,Sand Veil,2
247,//cdn2.bulbagarden.net/upload/2/23/247MS8.png,Pupitar,Shed Skin,,,2
248,//cdn2.bulbagarden.net/upload/3/30/248MS8.png,Tyranitar,Sand Stream,,Unnerve,2
248,//cdn2.bulbagarden.net/upload/6/61/248MMS6.png,Tyranitar (Mega Tyranitar),Sand Stream,,,6
249,//cdn2.bulbagarden.net/upload/1/1e/249MS8.png,Lugia,Pressure,,Multiscale,2
250,//cdn2.bulbagarden.net/upload/c/c4/250MS8.png,Ho-Oh,Pressure,,Regenerator,2
251,//cdn2.bulbagarden.net/upload/2/26/251MS8.png,Celebi,Natural Cure,,,2
Dex Number,Sprite URL,Pokemon,Ability 1,Ability 2,Hidden,Introduced
252,//cdn2.bulbagarden.net/upload/e/e0/252MS8.png,Treecko,Overgrow,,Unburden,3
253,//cdn2.bulbagarden.net/upload/4/43/253MS8.png,Grovyle,Overgrow,,Unburden,3
254,//cdn2.bulbagarden.net/upload/6/67/254MS8.png,Sceptile,Overgrow,,Unburden,3
254,//cdn2.bulbagarden.net/upload/7/7c/254MMS6.png,Sceptile (Mega Sceptile),Lightning Rod,,,6
255,//cdn2.bulbagarden.net/upload/7/79/255MS8.png,Torchic,Blaze,,Speed Boost,3
256,//cdn2.bulbagarden.net/upload/c/cc/256MS8.png,Combusken,Blaze,,Speed Boost,3
257,//cdn2.bulbagarden.net/upload/d/d5/257MS8.png,Blaziken,Blaze,,Speed Boost,3
257,//cdn2.bulbagarden.net/upload/e/ea/257MMS6.png,Blaziken (Mega Blaziken),Speed Boost,,,6
258,//cdn2.bulbagarden.net/upload/4/43/258MS8.png,Mudkip,Torrent,,Damp,3
259,//cdn2.bulbagarden.net/upload/0/04/259MS8.png,Marshtomp,Torrent,,Damp,3
260,//cdn2.bulbagarden.net/upload/2/2b/260MS8.png,Swampert,Torrent,,Damp,3
260,//cdn2.bulbagarden.net/upload/7/7b/260MMS6.png,Swampert (Mega Swampert),Swift Swim,,,6
261,//cdn2.bulbagarden.net/upload/3/39/261MS6.png,Poochyena,Run Away,Quick Feet,Rattled,3
262,//cdn2.bulbagarden.net/upload/b/ba/262MS6.png,Mightyena,Intimidate,Quick Feet,Moxie,3
263,//cdn2.bulbagarden.net/upload/4/47/263MS8.png,Zigzagoon,Pickup,Gluttony,Quick Feet,3
263,//cdn2.bulbagarden.net/upload/c/c7/263GMS8.png,Zigzagoon (Galarian Zigzagoon),Pickup,Gluttony,Quick Feet,8
264,//cdn2.bulbagarden.net/upload/c/c1/264MS8.png,Linoone,Pickup,Gluttony,Quick Feet,3
264,//cdn2.bulbagarden.net/upload/2/28/264GMS8.png,Linoone (Galarian Linoone),Pickup,Gluttony,Quick Feet,8
862,//cdn2.bulbagarden.net/upload/c/c8/862MS8.png,Obstagoon,Reckless,Guts,Defiant,8
265,//cdn2.bulbagarden.net/upload/f/f4/265MS6.png,Wurmple,Shield Dust,,Run Away,3
266,//cdn2.bulbagarden.net/upload/7/76/266MS6.png,Silcoon,Shed Skin,,,3
267,//cdn2.bulbagarden.net/upload/0/0e/267MS6.png,Beautifly,Swarm,,Rivalry,3
268,//cdn2.bulbagarden.net/upload/7/70/268MS6.png,Cascoon,Shed Skin,,,3
269,//cdn2.bulbagarden.net/upload/a/ac/269MS6.png,Dustox,Shield Dust,,Compound Eyes,3
270,//cdn2.bulbagarden.net/upload/1/19/270MS8.png,Lotad,Swift Swim,Rain Dish,Own Tempo,3
271,//cdn2.bulbagarden.net/upload/6/61/271MS8.png,Lombre,Swift Swim,Rain Dish,Own Tempo,3
272,//cdn2.bulbagarden.net/upload/e/e4/272MS8.png,Ludicolo,Swift Swim,Rain Dish,Own Tempo,3
273,//cdn2.bulbagarden.net/upload/d/da/273MS8.png,Seedot,Chlorophyll,Early Bird,Pickpocket,3
274,//cdn2.bulbagarden.net/upload/8/8e/274MS8.png,Nuzleaf,Chlorophyll,Early Bird,Pickpocket,3
275,//cdn2.bulbagarden.net/upload/c/c7/275MS8.png,Shiftry,Chlorophyll,Early Bird,Pickpocket,3
276,//cdn2.bulbagarden.net/upload/2/2f/276MS6.png,Taillow,Guts,,Scrappy,3
277,//cdn2.bulbagarden.net/upload/6/65/277MS6.png,Swellow,Guts,,Scrappy,3
278,//cdn2.bulbagarden.net/upload/2/20/278MS8.png,Wingull,Keen Eye,Hydration,Rain Dish,3
279,//cdn2.bulbagarden.net/upload/3/33/279MS8.png,Pelipper,Keen Eye,Drizzle,Rain Dish,3
280,//cdn2.bulbagarden.net/upload/e/e8/280MS8.png,Ralts,Synchronize,Trace,Telepathy,3
281,//cdn2.bulbagarden.net/upload/5/51/281MS8.png,Kirlia,Synchronize,Trace,Telepathy,3
282,//cdn2.bulbagarden.net/upload/0/06/282MS8.png,Gardevoir,Synchronize,Trace,Telepathy,3
282,//cdn2.bulbagarden.net/upload/1/1a/282MMS6.png,Gardevoir (Mega Gardevoir),Pixilate,,,6
475,//cdn2.bulbagarden.net/upload/7/7c/475MS8.png,Gallade,Steadfast,,Justified,4
475,//cdn2.bulbagarden.net/upload/d/d4/475MMS6.png,Gallade (Mega Gallade),Inner Focus,,,6
283,//cdn2.bulbagarden.net/upload/0/09/283MS6.png,Surskit,Swift Swim,,Rain Dish,3
284,//cdn2.bulbagarden.net/upload/d/d5/284MS6.png,Masquerain,Intimidate,,Unnerve,3
285,//cdn2.bulbagarden.net/upload/7/70/285MS6.png,Shroomish,Effect Spore,Poison Heal,Quick Feet,3
286,//cdn2.bulbagarden.net/upload/8/8c/286MS6.png,Breloom,Effect Spore,Poison Heal,Technician,3
287,//cdn2.bulbagarden.net/upload/a/af/287MS6.png,Slakoth,Truant,,,3
288,//cdn2.bulbagarden.net/upload/e/e6/288MS6.png,Vigoroth,Vital Spirit,,,3
289,//cdn2.bulbagarden.net/upload/f/f3/289MS6.png,Slaking,Truant,,,3
290,//cdn2.bulbagarden.net/upload/6/6e/290MS8.png,Nincada,Compound Eyes,,Run Away,3
291,//cdn2.bulbagarden.net/upload/c/c8/291MS8.png,Ninjask,Speed Boost,,Infiltrator,3
292,//cdn2.bulbagarden.net/upload/7/79/292MS8.png,Shedinja,Wonder Guard,,,3
293,//cdn2.bulbagarden.net/upload/b/bb/293MS8.png,Whismur,Soundproof,,Rattled,3
294,//cdn2.bulbagarden.net/upload/6/69/294MS8.png,Loudred,Soundproof,,Scrappy,3
295,//cdn2.bulbagarden.net/upload/2/26/295MS8.png,Exploud,Soundproof,,Scrappy,3
296,//cdn2.bulbagarden.net/upload/d/d9/296MS6.png,Makuhita,Thick Fat,Guts,Sheer Force,3
297,//cdn2.bulbagarden.net/upload/6/63/297MS6.png,Hariyama,Thick Fat,Guts,Sheer Force,3
299,//cdn2.bulbagarden.net/upload/6/65/299MS6.png,Nosepass,Sturdy,Magnet Pull,Sand Force,3
476,//cdn2.bulbagarden.net/upload/1/17/476MS6.png,Probopass,Sturdy,Magnet Pull,Sand Force,4
300,//cdn2.bulbagarden.net/upload/a/ad/300MS6.png,Skitty,Cute Charm,Normalize,Wonder Skin,3
301,//cdn2.bulbagarden.net/upload/e/ea/301MS6.png,Delcatty,Cute Charm,Normalize,Wonder Skin,3
302,//cdn2.bulbagarden.net/upload/0/0d/302MS8.png,Sableye,Keen Eye,Stall,Prankster,3
302,//cdn2.bulbagarden.net/upload/9/9c/302MMS6.png,Sableye (Mega Sableye),Magic Bounce,,,6
303,//cdn2.bulbagarden.net/upload/9/92/303MS8.png,Mawile,Hyper Cutter,Intimidate,Sheer Force,3
303,//cdn2.bulbagarden.net/upload/8/8e/303MMS6.png,Mawile (Mega Mawile),Huge Power,,,6
304,//cdn2.bulbagarden.net/upload/b/b5/304MS8.png,Aron,Sturdy,Rock Head,Heavy Metal,3
305,//cdn2.bulbagarden.net/upload/0/0d/305MS8.png,Lairon,Sturdy,Rock Head,Heavy Metal,3
306,//cdn2.bulbagarden.net/upload/6/68/306MS8.png,Aggron,Sturdy,Rock Head,Heavy Metal,3
306,//cdn2.bulbagarden.net/upload/f/f6/306MMS6.png,Aggron (Mega Aggron),Filter,,,6
307,//cdn2.bulbagarden.net/upload/1/1a/307MS6.png,Meditite,Pure Power,,Telepathy,3
308,//cdn2.bulbagarden.net/upload/c/cf/308MS6.png,Medicham,Pure Power,,Telepathy,3
308,//cdn2.bulbagarden.net/upload/2/2d/308MMS6.png,Medicham (Mega Medicham),Pure Power,,,6
309,//cdn2.bulbagarden.net/upload/4/4f/309MS8.png,Electrike,Static,Lightning Rod,Minus,3
310,//cdn2.bulbagarden.net/upload/4/47/310MS8.png,Manectric,Static,Lightning Rod,Minus,3
310,//cdn2.bulbagarden.net/upload/2/23/310MMS6.png,Manectric (Mega Manectric),Intimidate,,,6
311,//cdn2.bulbagarden.net/upload/f/f2/311MS6.png,Plusle,Plus,,Lightning Rod,3
312,//cdn2.bulbagarden.net/upload/3/35/312MS6.png,Minun,Minus,,Volt Absorb,3
313,//cdn2.bulbagarden.net/upload/7/75/313MS6.png,Volbeat,Illuminate,Swarm,Prankster,3
314,//cdn2.bulbagarden.net/upload/2/23/314MS6.png,Illumise,Oblivious,Tinted Lens,Prankster,3
406,//cdn2.bulbagarden.net/upload/0/07/406MS8.png,Budew,Natural Cure,Poison Point,Leaf Guard,4
315,//cdn2.bulbagarden.net/upload/f/f3/315MS8.png,Roselia,Natural Cure,Poison Point,Leaf Guard,3
407,//cdn2.bulbagarden.net/upload/5/55/407MS8.png,Roserade,Natural Cure,Poison Point,Technician,4
316,//cdn2.bulbagarden.net/upload/d/db/316MS6.png,Gulpin,Liquid Ooze,Sticky Hold,Gluttony,3
317,//cdn2.bulbagarden.net/upload/e/ed/317MS6.png,Swalot,Liquid Ooze,Sticky Hold,Gluttony,3
318,//cdn2.bulbagarden.net/upload/6/66/318MS8.png,Carvanha,Rough Skin,,Speed Boost,3
319,//cdn2.bulbagarden.net/upload/c/cc/319MS8.png,Sharpedo,Rough Skin,,Speed Boost,3
319,//cdn2.bulbagarden.net/upload/4/4e/319MMS6.png,Sharpedo (Mega Sharpedo),Strong Jaw,,,6
320,//cdn2.bulbagarden.net/upload/2/2e/320MS8.png,Wailmer,Water Veil,Oblivious,Pressure,3
321,//cdn2.bulbagarden.net/upload/7/70/321MS8.png,Wailord,Water Veil,Oblivious,Pressure,3
322,//cdn2.bulbagarden.net/upload/5/52/322MS6.png,Numel,Oblivious,Simple,Own Tempo,3
323,//cdn2.bulbagarden.net/upload/8/8e/323MS6.png,Camerupt,Magma Armor,Solid Rock,Anger Point,3
323,//cdn2.bulbagarden.net/upload/9/96/323MMS6.png,Camerupt (Mega Camerupt),Sheer Force,,,6
324,//cdn2.bulbagarden.net/upload/9/95/324MS8.png,Torkoal,White Smoke,Drought,Shell Armor,3
325,//cdn2.bulbagarden.net/upload/a/ab/325MS6.png,Spoink,Thick Fat,Own Tempo,Gluttony,3
326,//cdn2.bulbagarden.net/upload/5/53/326MS6.png,Grumpig,Thick Fat,Own Tempo,Gluttony,3
327,//cdn2.bulbagarden.net/upload/f/f9/327MS6.png,Spinda,Own Tempo,Tangled Feet,Contrary,3
328,//cdn2.bulbagarden.net/upload/1/12/328MS8.png,Trapinch,Hyper Cutter,Arena Trap,Sheer Force,3
329,//cdn2.bulbagarden.net/upload/c/c2/329MS8.png,Vibrava,Levitate,,,3
330,//cdn2.bulbagarden.net/upload/2/2d/330MS8.png,Flygon,Levitate,,,3
331,//cdn2.bulbagarden.net/upload/7/70/331MS6.png,Cacnea,Sand Veil,,Water Absorb,3
332,//cdn2.bulbagarden.net/upload/9/94/332MS6.png,Cacturne,Sand Veil,,Water Absorb,3
333,//cdn2.bulbagarden.net/upload/a/a7/333MS8.png,Swablu,Natural Cure,,Cloud Nine,3
334,//cdn2.bulbagarden.net/upload/2/2e/334MS8.png,Altaria,Natural Cure,,Cloud Nine,3
334,//cdn2.bulbagarden.net/upload/3/32/334MMS6.png,Altaria (Mega Altaria),Pixilate,,,6
335,//cdn2.bulbagarden.net/upload/c/c6/335MS6.png,Zangoose,Immunity,,Toxic Boost,3
336,//cdn2.bulbagarden.net/upload/a/a5/336MS6.png,Seviper,Shed Skin,,Infiltrator,3
337,//cdn2.bulbagarden.net/upload/4/45/337MS8.png,Lunatone,Levitate,,,3
338,//cdn2.bulbagarden.net/upload/b/b2/338MS8.png,Solrock,Levitate,,,3
339,//cdn2.bulbagarden.net/upload/e/ef/339MS8.png,Barboach,Oblivious,Anticipation,Hydration,3
340,//cdn2.bulbagarden.net/upload/6/69/340MS8.png,Whiscash,Oblivious,Anticipation,Hydration,3
341,//cdn2.bulbagarden.net/upload/e/e2/341MS8.png,Corphish,Hyper Cutter,Shell Armor,Adaptability,3
342,//cdn2.bulbagarden.net/upload/3/3e/342MS8.png,Crawdaunt,Hyper Cutter,Shell Armor,Adaptability,3
343,//cdn2.bulbagarden.net/upload/0/03/343MS8.png,Baltoy,Levitate,,,3
344,//cdn2.bulbagarden.net/upload/2/2a/344MS8.png,Claydol,Levitate,,,3
345,//cdn2.bulbagarden.net/upload/b/b8/345MS8.png,Lileep,Suction Cups,,Storm Drain,3
346,//cdn2.bulbagarden.net/upload/3/34/346MS8.png,Cradily,Suction Cups,,Storm Drain,3
347,//cdn2.bulbagarden.net/upload/f/f4/347MS8.png,Anorith,Battle Armor,,Swift Swim,3
348,//cdn2.bulbagarden.net/upload/3/3b/348MS8.png,Armaldo,Battle Armor,,Swift Swim,3
349,//cdn2.bulbagarden.net/upload/7/75/349MS8.png,Feebas,Swift Swim,Oblivious,Adaptability,3
350,//cdn2.bulbagarden.net/upload/d/d9/350MS8.png,Milotic,Marvel Scale,Competitive,Cute Charm,3
351,//cdn2.bulbagarden.net/upload/e/ef/351MS6.png,Castform (Normal),Forecast,,,3
351,//cdn2.bulbagarden.net/upload/1/1c/351SMS6.png,Castform (Sunny Form),Forecast,,,3
351,//cdn2.bulbagarden.net/upload/f/fa/351RMS6.png,Castform (Rainy Form),Forecast,,,3
351,//cdn2.bulbagarden.net/upload/7/78/351HMS6.png,Castform (Snowy Form),Forecast,,,3
352,//cdn2.bulbagarden.net/upload/d/de/352MS6.png,Kecleon,Color Change,,Protean,3
353,//cdn2.bulbagarden.net/upload/4/4a/353MS6.png,Shuppet,Insomnia,Frisk,Cursed Body,3
354,//cdn2.bulbagarden.net/upload/7/79/354MS6.png,Banette,Insomnia,Frisk,Cursed Body,3
354,//cdn2.bulbagarden.net/upload/9/9f/354MMS6.png,Banette (Mega Banette),Prankster,,,6
355,//cdn2.bulbagarden.net/upload/3/33/355MS8.png,Duskull,Levitate,,Frisk,3
356,//cdn2.bulbagarden.net/upload/0/0b/356MS8.png,Dusclops,Pressure,,Frisk,3
477,//cdn2.bulbagarden.net/upload/b/b7/477MS8.png,Dusknoir,Pressure,,Frisk,4
357,//cdn2.bulbagarden.net/upload/7/77/357MS6.png,Tropius,Chlorophyll,Solar Power,Harvest,3
433,//cdn2.bulbagarden.net/upload/7/7b/433MS6.png,Chingling,Levitate,,,4
358,//cdn2.bulbagarden.net/upload/1/1a/358MS6.png,Chimecho,Levitate,,,3
359,//cdn2.bulbagarden.net/upload/4/42/359MS8.png,Absol,Pressure,Super Luck,Justified,3
359,//cdn2.bulbagarden.net/upload/9/90/359MMS6.png,Absol (Mega Absol),Magic Bounce,,,6
361,//cdn2.bulbagarden.net/upload/a/af/361MS8.png,Snorunt,Inner Focus,Ice Body,Moody,3
362,//cdn2.bulbagarden.net/upload/f/f3/362MS8.png,Glalie,Inner Focus,Ice Body,Moody,3
362,//cdn2.bulbagarden.net/upload/5/5f/362MMS6.png,Glalie (Mega Glalie),Refrigerate,,,6
478,//cdn2.bulbagarden.net/upload/6/64/478MS8.png,Froslass,Snow Cloak,,Cursed Body,4
363,//cdn2.bulbagarden.net/upload/c/cb/363MS8.png,Spheal,Thick Fat,Ice Body,Oblivious,3
364,//cdn2.bulbagarden.net/upload/8/89/364MS8.png,Sealeo,Thick Fat,Ice Body,Oblivious,3
365,//cdn2.bulbagarden.net/upload/5/5b/365MS8.png,Walrein,Thick Fat,Ice Body,Oblivious,3
366,//cdn2.bulbagarden.net/upload/6/67/366MS6.png,Clamperl,Shell Armor,,Rattled,3
367,//cdn2.bulbagarden.net/upload/4/4d/367MS6.png,Huntail,Swift Swim,,Water Veil,3
368,//cdn2.bulbagarden.net/upload/1/11/368MS6.png,Gorebyss,Swift Swim,,Hydration,3
369,//cdn2.bulbagarden.net/upload/4/4a/369MS8.png,Relicanth,Swift Swim,Rock Head,Sturdy,3
370,//cdn2.bulbagarden.net/upload/1/1b/370MS6.png,Luvdisc,Swift Swim,,Hydration,3
371,//cdn2.bulbagarden.net/upload/a/a5/371MS8.png,Bagon,Rock Head,,Sheer Force,3
372,//cdn2.bulbagarden.net/upload/3/3c/372MS8.png,Shelgon,Rock Head,,Overcoat,3
373,//cdn2.bulbagarden.net/upload/3/30/373MS8.png,Salamence,Intimidate,,Moxie,3
373,//cdn2.bulbagarden.net/upload/9/9c/373MMS6.png,Salamence (Mega Salamence),Aerilate,,,6
374,//cdn2.bulbagarden.net/upload/6/6b/374MS8.png,Beldum,Clear Body,,Light Metal,3
375,//cdn2.bulbagarden.net/upload/a/af/375MS8.png,Metang,Clear Body,,Light Metal,3
376,//cdn2.bulbagarden.net/upload/4/48/376MS8.png,Metagross,Clear Body,,Light Metal,3
376,//cdn2.bulbagarden.net/upload/2/2f/376MMS6.png,Metagross (Mega Metagross),Tough Claws,,,6
377,//cdn2.bulbagarden.net/upload/8/86/377MS8.png,Regirock,Clear Body,,Sturdy,3
378,//cdn2.bulbagarden.net/upload/e/ee/378MS8.png,Regice,Clear Body,,Ice Body,3
379,//cdn2.bulbagarden.net/upload/1/16/379MS8.png,Registeel,Clear Body,,Light Metal,3
