Move Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
skull_bash,1,"In the first turn, the attacker tucks in its head. The next turn, it head-butts at full steam.","In the first turn, the attacker tucks its head. The next turn, it head-butts at full steam.",1st turn: Prepare 2nd turn: Attack,"Tucks in the head, then attacks on the next turn.","The user raises its Defense in the 1st turn, then attacks in the 2nd turn.","Raises defense, then attacks on the next turn.","The user tucks in its head to raise its Defense in the first turn, then rams the foe on the next turn.","The user tucks in its head to raise its Defense in the first turn, then rams the target on the next turn.","The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn.",,,,,,,,,,,,,,,
spike_cannon,1,A physical attack consisting of two to five consecutive hits. Highly accurate.,Fires spikes to hit 2-5 times.,Launches sharp spikes that strike 2 to 5 times.,Sharp spikes are fired at the foe to strike two to five times.,Sharp pins are fired to strike 2 to 5 times.,Sharp spikes are fired at the foe to strike two to five times in rapid succession.,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,
constrict,1,A Normal-type attack. Has a one-in-three chance of reducing the target's Speed.,A Normal-type attack. Has a one-in-ten chance of reducing the target's Speed.,An attack that may lower Speed.,Constricts to inflict pain. May lower Speed.,The foe is attacked with long tentacles or vines. It may lower Speed.,"The foe is attacked with long, creeping tentacles or vines. It may also lower the target's Speed.","The target is attacked with long, creeping tentacles or vines. It may also lower the target's Speed stat.","The target is attacked with long, creeping tentacles or vines. This may also lower the target's Speed stat.","The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target's Speed stat.","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,
amnesia,1,Sharply raises the user's Special stat. Also increases protection against special attacks.,A move that increases the user's Spcl.,Sharply raises the user's Spcl.,Forgets about something and sharply raises Sp. Def.,The user temporarily empties its mind to forget its concerns. It sharply raises the user's Sp. Def stat.,The user temporarily empties its mind to forget its concerns. This sharply raises the user's Sp. Def stat.,,,,,,,,,,,,,,,,,,
kinesis,1,A special move of bending spoons to confound the enemy. Makes the user harder to hit.,Reduces the foe's accuracy.,Distracts the foe. May lower accuracy.,The user distracts the foe by bending a spoon. It may lower accuracy.,Distracts the target. May lower accuracy.,The user distracts the foe by bending a spoon. It may lower the target's accuracy.,The user distracts the target by bending a spoon. It lowers the target's accuracy.,The user distracts the target by bending a spoon. This lowers the target's accuracy.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,
soft_boiled,1,Restores HP by 1/2 of the user's maximum HP. May also be used in the field.,Half of the user's maximum HP is restored. May also be used in the field.,Restores HP by 1/2 the user's max HP.,Recovers up to half the user's maximum HP.,Heals the user by up to half its full HP. It can be used to heal an ally.,The user restores its own HP by up to half of its max HP. May be used in the field to heal HP.,The user restores its own HP by up to half of its max HP.,The user restores its own HP by up to half of its maximum HP. It may also be used to heal an ally's HP.,The user restores its own HP by up to half of its maximum HP. May also be used in the field to heal HP.,The user restores its own HP by up to half of its max HP. May also be used in the field to heal HP.,The user restores its own HP by up to half of its max HP.,The user restores its own HP by up to half of its max HP. It may also be used to heal an ally’s HP outside of battle.,,,,,,,,,,,,
high_jump_kick,1,"Stronger than a Jump Kick. If it misses, the attacker sustains 1/8 damage it should have caused.","Stronger than Jump Kick. If it misses, the attacker takes 1/8 damage it would've caused.",May miss and hurt the user.,"A jumping knee kick. If it misses, the user is hurt.","A strong jumping knee kick. If it misses, the user is hurt.","The foe is attacked with a knee kick from a jump. If it misses, the user is hurt instead.","The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.",,,,,,,,,,,,,,,,,
glare,1,The target is transfixed with terrifying sharp eyes. The target is frightened into paralysis.,"Transfixes the enemy with terrifying sharp eyes, frightening it into paralysis.",A move that may cause paralysis.,Intimidates and frightens the foe into paralysis.,Intimidates and frightens the target into paralysis.,The user intimidates the foe with the pattern on its belly to cause paralysis.,The user intimidates the target with the pattern on its belly to cause paralysis.,,,,,,,,,,,,,,,,,
dream_eater,1,Works only on sleeping Pokemon. This technique steals the target's HP and adds it to the user's HP.,Works only on sleeping Pokemon. Steals the target's HP and adds 50%% of it to the user's HP.,Steals HP from a sleeping victim.,Takes one half the damage inflicted on a sleeping foe.,Absorbs half the damage it inflicted on a sleeping foe to restore HP.,Takes half the damage dealt to a sleeping target.,An attack that works only on a sleeping foe. It absorbs half the damage caused to heal the user's HP.,The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal the user's HP.,The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.,The user eats the dreams of a sleeping target. The user's HP is restored by half the damage taken by the target.,,,,,,,,,,,,,,
poison_gas,1,A poisonous cloud of gas is forcefully expelled to poison the target.,A move that may poison the foe.,Envelops the foe in a toxic gas that may poison.,The foe is sprayed with a cloud of toxic gas that may poison the foe.,Envelops the target in a toxic gas that may poison.,A cloud of poison gas is sprayed in the foe's face. It may poison the target.,A cloud of poison gas is sprayed in the face of opposing Pokemon. It may poison those hit.,A cloud of poison gas is sprayed in the face of opposing Pokemon. This may also poison those hit.,"A cloud of poison gas is sprayed in the face of opposing Pokemon, poisoning those hit.","A cloud of poison gas is sprayed in the face of opposing Pokemon, poisoning those it hits.",,,,,,,,,,,,,,
barrage,1,Several spheres are thrown consecutively at the target to inflict damage.,Throws orbs to hit 2-5 times.,Hurls round objects at the foe 2 to 5 times.,Round objects are hurled at the foe to strike two to five times.,Hurls round objects at the target 2 to 5 times.,Round objects are hurled at the foe to strike two to five times in a row.,Round objects are hurled at the target to strike two to five times in a row.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,
leech_life,1,An HP-draining attack. It adds half the HP it drained from the target to the attacker's HP.,Steals 1/2 of the damage inflicted.,An attack that steals half the damage inflicted.,An attack that absorbs half the damage it inflicted to restore HP.,An attack that absorbs half the damage inflicted.,A blood-draining attack. The user's HP is restored by half the damage taken by the target.,The user drains the target's blood. The user's HP is restored by half the damage taken by the target.,,,,,,,,,,,,,,,,,
lovely_kiss,1,"A special move that puts the target to sleep with a big kiss. (Actually, the victim passes out.)","A special move that puts the target to sleep with a big kiss. (Actually, the victim faints.)",May cause the foe to fall asleep.,Demands a kiss with a scary face that induces sleep.,The user forces a kiss on the foe with a scary face that induces sleep.,"With a scary face, the user forces a kiss on the foe. It may make the target fall asleep.","With a scary face, the user tries to force a kiss on the foe. If it succeeds, the target falls asleep.","With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep.",,,,,,,,,,,,,,,,
sky_attack,1,"The strongest Flying-type attack. Energy is stored in the first turn, then fired the next turn.","Strongest Flying-type attack. Stores energy in the first turn, then fires in the next.",1st turn: Prepare2nd turn: Attack,"Searches out weak spots, then strikes the next turn.",A 2nd-turn attack move with a high critical-hit ratio. The foe may flinch.,A second-turn attack move with a high critical-hit ratio. It may also make the target flinch.,A second-turn attack move where critical hits land more easily. It may also make the target flinch.,A second-turn attack move where critical hits land more easily. This may also make the target flinch.,,,,,,,,,,,,,,,,
transform,1,"Transforms the user into a copy of the target, including the type. All moves have only five PP each.",The user assumes the foe's guise.,Alters the user's cells to become a copy of the foe.,The user transforms into a copy of the foe with even the same move set.,Alters the user's cells to copy the target.,The user transforms into a copy of the foe right down to having the same move set.,The user transforms into a copy of the target right down to having the same move set.,,,,,,,,,,,,,,,,,
bubble,1,A Water-type attack. Has a one-in-three chance of reducing the target's Speed.,A Water-type attack. Has a one-in-ten chance of reducing the target's Speed.,An attack that may reduce Speed.,An attack using bubbles. May lower the foe's Speed.,A spray of bubbles hits the foe. It may lower the foe's Speed stat.,A bubble attack that may lower the target's Speed.,A spray of countless bubbles is jetted at the foe. It may also lower the target's Speed stat.,A spray of countless bubbles is jetted at the opposing team. It may also lower the targets' Speed stats.,A spray of countless bubbles is jetted at the opposing Pokemon. This may also lower their Speed stats.,A spray of countless bubbles is jetted at the opposing Pokemon. This may also lower their Speed stat.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,
dizzy_punch,1,A Normal-type attack. The punch is relatively strong and highly accurate.,A Normal-type attack. Has a one-in-five chance of leaving the target confused.,An attack that may cause confusion.,A rhythmic punch that may confuse the foe.,The foe is hit with a rhythmic punch that may leave it confused.,A rhythmic punch that may confuse the target.,The foe is hit with a rhythmically launched punch that may also leave it confused.,The foe is hit with rhythmically launched punches that may also leave it confused.,The target is hit with rhythmically launched punches that may also leave it confused.,The target is hit with rhythmically launched punches. This may also leave the target confused.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,
spore,1,"Special spores are scattered from mushrooms. If the opponent inhales the spores, it will fall asleep.","Special spores are scattered from mushrooms. If the foe inhales them, it will fall asleep.",A move that induces sleep.,Scatters a cloud of spores that always induce sleep.,The user scatters bursts of fine spores that induce sleep.,Scatters a cloud of spores that always induces sleep.,The user scatters bursts of spores that induce sleep.,,,,,,,,,,,,,,,,,
flash,1,Creates a brilliant flash of light that blinds the target. This technique reduces the opponent's accuracy.,"Blinds the target with a bright flash of light, reducing the opponent's accuracy.",Blinds the foe to reduce accuracy.,Looses a powerful blast of light that cuts accuracy.,A blast of light that cuts the foe's accuracy. It also illuminates caves.,Looses a powerful blast of light that cuts accuracy.,The user flashes a light that cuts the foe's accuracy. It can also be used to illuminate caves.,The user flashes a bright light that cuts the foe's accuracy.,The user flashes a bright light that cuts the target's accuracy. It can also be used to illuminate caves.,The user flashes a bright light that cuts the target's accuracy.,The user flashes a bright light that cuts the target's accuracy. It can also be used to illuminate dark caves.,The user flashes a bright light that cuts the target's accuracy.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",The user flashes a light that lowers the target’s accuracy. It can also be used to illuminate caves.,,,,,,,,,,
psywave,1,A Psychic-type attack of varying intensity. It occasionally inflicts heavy damage.,An attack with variable power.,Attacks with a psychic wave of varying intensity.,"The foe is attacked with an odd, hot energy wave that varies in intensity.","The foe is attacked with an odd, hot energy wave. The attack varies in intensity.",The target is attacked with an odd psychic wave. The attack varies in intensity.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,,
splash,1,A move that involves only flopping and Splashing around in front of the opponent. It has no effect.,A move that involves only flopping and Splashing around. It has no effect.,Has no effect whatsoever.,It's just a splash... Has no effect whatsoever.,The user just flops and splashes around without having any effect.,The user just flops and splashes around to no effect at all...,,,,,,,,,,,,,,,,,,
acid_armor,1,Melts the user's body for protection. A move that sharply raises Defense.,Sharply raises the user's Defense.,Liquifies the user's body to sharply raise Defense.,The user alters its cells to liquefy itself and sharply raise Defense.,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.",,,,,,,,,,,,,,,,,,,
crabhammer,1,A move that is used only by Pokemon with pincers. Likely to get a critical hit.,Has a high critical hit ratio.,Hammers with a pincer. Has a high critical-hit ratio.,A large pincer is used to hammer the foe. It has a high critical-hit ratio.,The foe is hammered with a large pincer. This move has a high critical-hit ratio.,The target is hammered with a large pincer. Critical hits land more easily.,,,,,,,,,,,,,,,,,,
explosion,1,"The most powerful attack of all. However, the attacker faints after using this move.",Very powerful but makes user faint.,Inflicts severe damage but makes the user faint.,The user explodes to inflict terrible damage even while fainting itself.,The user explodes to inflict damage on all Pokemon in battle. The user faints upon using this move.,The user explodes to inflict damage on those around it. The user faints upon using this move.,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.,,,,,,,,,,,,,,,,,
fury_swipes,1,The target is scratched by sharp claws two to five times in quick succession.,Quickly scratches 2-5 times.,"Rakes the foe with sharp claws, etc., 2 to 5 times.",The foe is raked with sharp claws or scythes two to five times.,"Rakes the target with claws, etc., 2 to 5 times.",The foe is raked with sharp claws or scythes for two to five times in quick succession.,The target is raked with sharp claws or scythes for two to five times in quick succession.,The target is raked with sharp claws or scythes quickly two to five times in a row.,,,,,,,,,,,,,,,,
bonemerang,1,A boomerang made of bone is thrown to inflict damage twice -- on the way out and on its return.,"A boomerang made of bone is thrown to inflict damage twice, on the way out and on return.",An attack that strikes twice.,Throws a bone boomerang that strikes twice.,"The user throws a bone that hits the foe once, then once again on return.","The user throws the bone it holds. The bone loops to hit the foe twice, coming and going.","The user throws the bone it holds. The bone loops to hit the target twice, coming and going.",The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.,,,,,,,,,,,,,,,,
rest,1,The user takes a nap to fully restore its HP and recover from any status abnormalities.,Sleep for 2 turns to fully recover.,"The user sleeps for 2 turns, restoring HP and status.",The user sleeps for two turns to fully restore HP and heal any status problem.,The user goes to sleep for two turns. It fully restores the user's HP and heals any status problem.,The user goes to sleep for two turns. This fully restores the user's HP and heals any status conditions.,,,,,,,,,,,,,,,,,,
rock_slide,1,A Rock-type attack that hits the target with an avalanche of rocks and boulders.,An attack that may cause flinching.,Large boulders are hurled. May cause flinching.,Large boulders are hurled at the foe. It may make the foe flinch.,Large boulders are hurled at the foe to inflict damage. It may also make the target flinch.,Large boulders are hurled at the opposing team to inflict damage. They may also make the targets flinch.,Large boulders are hurled at the opposing Pokemon to inflict damage. This may also make the opposing Pokemon flinch.,Large boulders are hurled at opposing Pokemon to inflict damage. This may also make the opposing Pokemon flinch.,,,,,,,,,,,,,,,,
hyper_fang,1,A Normal-type attack. Has a one-in-ten chance of making the target flinch.,An attack that may cause flinching.,Attacks with sharp fangs. May cause flinching.,The foe is attacked with sharp fangs. It may make the foe flinch.,The user bites hard on the foe with its sharp front fangs. It may also make the target flinch.,The user bites hard on the target with its sharp front fangs. It may also make the target flinch.,The user bites hard on the target with its sharp front fangs. This may also make the target flinch.,,,,,,,,,,,,,,,,,
sharpen,1,Raises the user's Attack power. The edges of the Pokemon are made harder for more impact.,A move that raises the user's Attack.,Reduces the polygon count and raises Attack.,The user reduces its polygon count to sharpen edges and raise Attack.,"The user reduces its polygon count to make itself more jagged, raising the Attack stat.","The user lowers its polygon count to make itself more jagged, raising the Attack stat.","The user makes its edges more jagged, which raises its Attack stat.","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,
conversion,1,A special move that switches the user's elemental type to that of the target.,A special move that switches the user's elemental type into one of the user's attack types.,Change user's type to a move's type.,Changes the user's type into an own move's type.,Changes the user's type into a known move's type.,The user changes its type to match the type of one of its moves.,Changes the user's type into its own move's type.,The user changes its type to become the same type as one of its moves.,The user changes its type to become the same type as the move at the top of the list of moves it knows.,,,,,,,,,,,,,,,
tri_attack,1,A Normal-type attack. A triangular field of energy is created and launched at the target.,A Normal-type attack. A triangular field of energy is created and launched.,Fires three kinds of beams at once.,Fires three types of beams at the same time.,"A simultaneous 3-beam attack that may paralyze, burn, or freeze the foe.","Fires three beams. May cause BRN, FRZ, or PAR.","The user strikes with a simultaneous three-beam attack. May also paralyze, burn, or freeze the target.","The user strikes with a simultaneous three-beam attack. May also burn, freeze, or leave the target with paralysis.","The user strikes with a simultaneous three-beam attack. May also burn, freeze, or paralyze the target.","The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target.",,,,,,,,,,,,,,
super_fang,1,"If it hits, this attack cuts the target's HP in half. Learned by Pokemon with developed fangs.",Cuts the foe's HP by 1/2.,Attacks with sharp fangs and cuts half the foe's HP.,The user attacks with sharp fangs and halves the foe's HP.,Sharp-fanged attack that cuts half the target's HP.,The user chomps hard on the foe with its sharp front fangs. It cuts the target's HP to half.,The user chomps hard on the target with its sharp front fangs. It cuts the target's HP to half.,The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half.,,,,,,,,,,,,,,,,
slash,1,A Normal-type attack. It has a high probability of a critical hit for inflicting double the damage.,A Normal-type attack. It has a high probability of a critical hit for inflicting double damage.,Has a high critical hit ratio.,"Slashes with claws, etc. Has a high critical-hit ratio.","The foe is slashed with claws, etc. It has a high critical-hit ratio.","The foe is attacked with a slash of claws, etc. It has a high critical-hit ratio.",The target is attacked with a slash of claws or blades. Critical hits land more easily.,,,,,,,,,,,,,,,,,
substitute,1,Uses 1/4 of the user's maximum HP to create a substitute that takes the opponent's attacks.,Makes a decoy with 1/4 user's max HP.,Creates a decoy using 1/4 of the user's maximum HP.,The user creates a decoy using one-quarter of its full HP.,The user makes a copy of itself using some of its HP. The copy serves as the user's decoy.,The user creates a substitute for itself using some of its HP. The substitute serves as the user's decoy.,,,,,,,,,,,,,,,,,,
struggle,1,Used only if the user runs totally out of PP. The user is hit with 1/4 of the damage it inflicts.,Used only if the user is totally out of PP. The user is hit with 1/4 the damage it inflicts.,Used only if all PP are exhausted.,Used only if all PP are gone. Also hurts the user a little.,An attack that is used only if there is no PP. It also hurts the user.,Used when all PP are gone. Also hurts the user a bit.,An attack that is used in desperation only if the user has no PP. It also hurts the user slightly.,An attack that is used in desperation only if the user has no PP. This also damages the user a little.,This attack is used in desperation only if the user has no PP. It also damages the user a little.,,,,,,,,,,,,,,,
sketch,2,A move that allows the user to copy a move used by an opponent and learn that move.,Copies the foe's move permanently.,Copies the foe's last move permanently.,"This move copies the move last used by the foe, then disappears.",Copies the target's last move permanently.,"It enables the user to learn a move used by the foe. Once used, the move Sketch disappears.",It enables the user to learn a move used by the foe.,"It enables the user to permanently learn the move last used by the foe. Once used, Sketch disappears.","It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears.",,,,,,,,,,,,,,,
triple_kick,2,"A three-kick attack that inflicts increasing damage. When one kick misses, the move ends.",Hits three times with rising power.,Kicks the foe 3 times in a row with rising intensity.,A 3-kick attack that becomes more powerful with each successive hit.,Kicks 1 to 3 times in a row with rising intensity.,A consecutive three-kick attack that becomes more powerful with each successive hit.,A consecutive three-kick attack that becomes more powerful with each successful hit.,,,,,,,,,,,,,,,,,
thief,2,A Dark-type attack. The attacking Pokemon may steal an item held by the target.,An attack that may steal a held item.,"While attacking, it may steal the foe's held item.",An attack that may take the foe's held item if the user isn't holding one.,An attack that may steal the target's held item.,The user attacks and steals the foe's held item simultaneously. It can't steal if the user holds an item.,The user attacks and steals the target's item simultaneously. It can't steal if the user holds an item.,The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item.,,,,,,,,,,,,,,,,
spider_web,2,Sticky strings that prevent the target from escaping until the attacking Pokemon is gone.,Prevents fleeing or switching.,Ensnares the foe to stop it from fleeing or switching.,Ensnares the foe with sticky string so it doesn't flee or switch out.,Ensnares the target to stop it from switching.,"The user ensnares the foe with a thin, gooey silk so it can't flee from battle.","The user ensnares the target with thin, gooey silk so it can't flee from battle.","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,
mind_reader,2,It predicts the opponent's movement. The user's next attack will never miss.,Ensures the next attack will hit.,Senses the foe's action to ensure the next move's hit.,The user predicts the foe's action to ensure its next attack hits.,Senses the target's move so the next attack will hit.,The user senses the foe's movements with its mind to ensure its next attack does not miss.,The user senses the target's movements with its mind to ensure its next attack does not miss the target.,,,,,,,,,,,,,,,,,
nightmare,2,A move that makes a sleeping target have bad dreams. The victim will steadily lose HP.,A sleeper loses 1/4 HP every turn.,Inflicts 1/4 damage on a sleeping foe every turn.,Inflicts 1/4 damage on a sleeping target each turn.,A sleeping foe is shown a nightmare that inflicts some damage every turn.,A sleeping target sees a nightmare that inflicts some damage every turn.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,,
flame_wheel,2,A Fire-type attack. Has a one-in-ten chance of inflicting a burn on the target.,An attack that may cause a burn.,A fiery charge attack that may inflict a burn.,The user makes a fiery charge at the foe. It may cause a burn.,The user cloaks itself in fire and charges at the foe. It may also leave the target with a burn.,The user cloaks itself in fire and charges at the target. It may also leave the target with a burn.,The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.,,,,,,,,,,,,,,,,,
snore,2,Has a one-in-three chance of making the target flinch. Can be used only by a sleeping Pokemon.,An attack useable only while asleep.,A loud attack that can be used only while asleep.,An attack that can be used only while asleep. It may cause flinching.,An attack that can be used only if the user is asleep. The harsh noise may also make the foe flinch.,An attack that can be used only if the user is asleep. The harsh noise may make the target flinch.,An attack that can be used only if the user is asleep. The harsh noise may also make the target flinch.,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.,,,,,,,,,,,,,,,,
curse,2,Raises Attack and Defense at the expense of Speed. It works differently for the Ghost type.,Works differently for ghost-types.,A move that functions differently for Ghosts.,A move that works differently for the Ghost-type and all the other types.,A move that works differently for the Ghost type than for all the other types.,A move that works differently for the Ghost type than for all other types.,,,,,,,,,,,,,,,,,,
flail,2,An attack that increases in power if the user's HP is low. It could turn the tide in battle.,Stronger if the user's HP is low.,Inflicts more damage when the user's HP is down.,A desperate attack that becomes more powerful the less HP the user has.,The user flails about aimlessly to attack. It becomes more powerful the less HP the user has.,"The user flails about aimlessly to attack. The less HP the user has, the greater the move's power.",,,,,,,,,,,,,,,,,,
conversion_2,2,A move that changes the user's type into one that is resistant to the opponent's last move.,The user's type is made resistant.,Makes the user resistant to the last attack's type.,The user changes type to make itself resistant to the last attack it took.,The user changes its type to make itself resistant to the type of the attack it last took.,The user changes its type to make itself resistant to the type of the attack the opponent used last.,The user changes its type to make itself resistant to the type of the attack the target used last.,,,,,,,,,,,,,,,,,
aeroblast,2,A powerful Flying-type attack. It often becomes a critical hit.,Has a high critical hit ratio.,Launches a vacuumed blast. High critical-hit ratio.,A vortex of air is shot at the foe. It has a high critical-hit ratio.,A vortex of air is shot at the foe to inflict damage. It has a high critical-hit ratio.,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.,,,,,,,,,,,,,,,,,,
cotton_spore,2,"Spores that cling to the target, sharply reducing the opponent's Speed.",Sharply reduces the foe's Speed.,"Spores cling to the foe, sharply reducing Speed.","Cotton-like spores cling to the foe, sharply reducing its Speed stat.","Spores cling to the target, sharply reducing Speed.","The user releases cottonlike spores that cling to the foe, sharply reducing its Speed stat.","The user releases cotton-like spores that cling to the target, harshly reducing its Speed stat.","The user releases cotton-like spores that cling to the opposing Pokemon, which harshly lowers their Speed stats.","The user releases cotton-like spores that cling to the opposing Pokemon, which harshly lowers their Speed stat.","The user releases cotton-like spores that cling to opposing Pokemon, which harshly lowers their Speed stats.",,,,,,,,,,,,,,
reversal,2,An attack that increases in power if the user's HP is low. It could turn the tide in battle.,Stronger if the user's HP is low.,Inflicts more damage when the user's HP is down.,An all-out attack that becomes more powerful the less HP the user has.,,,,,,,,,,,,,,,,,,,,
spite,2,A vengeful move that slightly reduces the PP of the opponent's last move.,Cuts the PP of the foe's last move.,Spitefully cuts the PP of the foe's last move.,A move that cuts 2 to 5 PP from the move last used by the foe.,Spitefully cuts the PP of the target's last move.,The user looses its grudge on the move last used by the foe by cutting 4 PP from it.,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.,,,,,,,,,,,,,,,,,
powder_snow,2,An Ice-type attack. Has a one-in-ten chance of freezing the target.,An attack that may cause freezing.,Blasts the foe with a snowy gust. May cause freezing.,Blasts the foe with a snowy gust. It may cause freezing.,Blasts target with a snowy gust. May cause freezing.,The user attacks with a chilling gust of powdery snow. It may also freeze the target.,The user attacks with a chilling gust of powdery snow. It may also freeze the targets.,The user attacks with a chilling gust of powdery snow. This may also freeze the opposing Pokemon.,The user attacks with a chilling gust of powdery snow. This may also freeze opposing Pokemon.,,,,,,,,,,,,,,,
protect,2,"Completely foils an opponent's attack. If used consecutively, its success rate decreases.",Foils attack that turn. It may fail.,"Evades attack, but may fail if used in succession.",Enables the user to evade all attacks. It may fail if used in succession.,It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.,Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,,,,,,,,,,,,,,,,,
mach_punch,2,An incredibly fast punch that always lands first.,A fast punch that lands first.,A punch is thrown at wicked speed to strike first.,A punch thrown at blinding speed. It is certain to strike first.,The user throws a punch at blinding speed. It is certain to strike first.,The user throws a punch at blinding speed. This move always goes first.,,,,,,,,,,,,,,,,,,
scary_face,2,"A horrific look that scares the victim, sharply reducing the target's Speed.",Sharply reduces the foe's Speed.,Frightens with a scary face to sharply reduce Speed.,Frightens the foe with a scary face to sharply reduce its Speed.,The user frightens the foe with a scary face to sharply reduce its Speed stat.,The user frightens the target with a scary face to harshly reduce its Speed stat.,The user frightens the target with a scary face to harshly lower its Speed stat.,,,,,,,,,,,,,,,,,
feint_attack,2,"A Dark-type attack. The move catches the opponent off guard, so it never misses.",An attack that never misses.,"Draws the foe close, then strikes without fail.","The user draws up close to the foe disarmingly, then hits without fail.","Draws the target close, then strikes without fail.","The user draws up to the foe disarmingly, then throws a sucker punch. It hits without fail.","The user approaches the target disarmingly, then throws a sucker punch. It hits without fail.","The user approaches the target disarmingly, then throws a sucker punch. This attack never misses.","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,
sweet_kiss,2,A sweet little kiss that causes the target to become giddy and confused.,A move that causes confusion.,Demands a kiss with a cute look. May cause confusion.,The user kisses the foe with sweet cuteness that causes confusion.,"The user kisses the foe with a sweet, angelic cuteness that causes confusion.","The user kisses the target with a sweet, angelic cuteness that causes confusion.",,,,,,,,,,,,,,,,,,
belly_drum,2,A move that allows the user to consume half of its own HP in order to maximize its Attack.,Reduces own HP to maximize Attack.,Maximizes Attack while sacrificing HP.,The user maximizes its Attack stat at the cost of half its full HP.,The user maximizes its Attack stat in exchange for HP equal to half its max HP.,,,,,,,,,,,,,,,,,,,
sludge_bomb,2,A Poison-type attack. Has a one-in-three chance of leaving the target poisoned.,An attack that may poison the foe.,Sludge is hurled to inflict damage. May also poison.,Filthy sludge is hurled at the foe. It may poison the target.,The user attacks by hurling filthy sludge at the foe. It may also poison the target.,Unsanitary sludge is hurled at the target. It may also poison the target.,Unsanitary sludge is hurled at the target. This may also poison the target.,,,,,,,,,,,,,,,,,
mud_slap,2,"An attack that fires dirt, inflicting damage and reducing the target's accuracy.",Reduces the foe's accuracy.,Hurls mud in the foe's face to reduce its accuracy.,Mud is hurled in the foe's face to inflict damage and lower its accuracy.,Hurls mud in the target's face to reduce accuracy.,The user hurls mud in the foe's face to inflict damage and lower its accuracy.,The user hurls mud in the target's face to inflict damage and lower its accuracy.,,,,,,,,,,,,,,,,,
octazooka,2,An attack that shoots ink. Has a fifty-fifty chance of reducing the target's accuracy.,An attack that may reduce accuracy.,Fires a lump of ink to damage and cut accuracy.,Ink is blasted in the foe's face or eyes to damage and lower accuracy.,The user attacks by spraying ink in the foe's face or eyes. It may also lower the target's accuracy.,The user attacks by spraying ink in the target's face or eyes. It may also lower the target's accuracy.,The user attacks by spraying ink in the target's face or eyes. This may also lower the target's accuracy.,,,,,,,,,,,,,,,,,
spikes,2,An attack that scatters Spikes and injures opponent Pokemon when they switch.,Hurts foes when they switch out.,Sets spikes that hurt a foe switching out.,Sets spikes that hurt a foe switching in.,A trap of spikes is laid around the foe's party to hurt foes switching in.,The user lays a trap of spikes at the foe's feet. The trap hurts foes that switch into battle.,The user lays a trap of spikes at the opposing team's feet. The trap hurts Pokemon that switch into battle.,,,,,,,,,,,,,,,,,
zap_cannon,2,An Electric-type attack. Inaccurate but is guaranteed to cause paralysis if it hits.,An attack that always paralyzes.,"Powerful and sure to cause paralysis, but inaccurate.",An electric blast is fired like a cannon to inflict damage and paralyze.,The user fires an electric blast like a cannon to inflict damage and cause paralysis.,,,,,,,,,,,,,,,,,,,
